,Department,Course_Num,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Meeting_Time,Meeting_Dates,Professor
87,ANTH,3020,12436,100,Lecture,3,60,Maury Hall 104, 9:00am - 9:50am,MoWe,Aidan Seale-Feldman
88,ANTH,3020,19134,101,Discussion,0,20,Brooks Hall 103, 9:00am - 9:50am,Fr,Shane Weitzman
89,ANTH,3020,19135,102,Discussion,0,20,The Rotunda Room 152, 11:00am - 11:50am,Fr,Shane Weitzman
90,ANTH,3020,19136,103,Discussion,0,20,New Cabell Hall 268, 3:00pm - 3:50pm,Th,Shane Weitzman
91,ANTH,3240,19156,100,Lecture,3,60,Ruffner Hall G004, 10:00am - 10:50am,MoWe,Kasey Jernigan
92,ANTH,3240,19157,101,Discussion,0,20,Gibson Hall 241, 3:00pm - 3:50pm,Th,Jeffrey Attridge
93,ANTH,3240,19158,102,Discussion,0,20,Brooks Hall 103, 8:00am - 8:50am,Fr,Jeffrey Attridge
94,ANTH,3240,19159,103,Discussion,0,20,New Cabell Hall 332, 10:00am - 10:50am,Fr,Jeffrey Attridge
95,ANTH,3290,13117,001,Lecture,3,30,New Cabell Hall 383, 3:30pm - 6:00pm,Th,Jarrett Zigon
96,ANTH,3390,19771,001,Lecture,3,60,Maury Hall 104, 3:30pm - 4:45pm,TuTh,Gertrude Fraser
97,ANTH,3470,19171,100,Lecture,3,65,Claude Moore Nursing Educ G120, 11:00am - 11:50am,MoWe,Daniel Lefkowitz
98,ANTH,3470,19393,101,Discussion,0,20,Brooks Hall 103, 5:00pm - 5:50pm,We,Tirajeh Tahvildar Akbari
99,ANTH,3470,19394,102,Discussion,0,20,Brooks Hall 103, 5:00pm - 5:50pm,Th,Tirajeh Tahvildar Akbari
100,ANTH,3470,19395,103,Discussion,0,20,Brooks Hall 103, 1:00pm - 1:50pm,Fr,Tirajeh Tahvildar Akbari
101,ANTH,3490,19151,100,Lecture,3,60,Maury Hall 115, 10:00am - 10:50am,WeFr,Eve Danziger
102,ANTH,3490,19152,101,Discussion,0,20,The Rotunda Room 152, 10:00am - 10:50am,Mo,Colleen Winkelman
103,ANTH,3490,19153,102,Discussion,0,20,New Cabell Hall 115, 11:00am - 11:50am,Tu,Colleen Winkelman
104,ANTH,3490,19154,103,Discussion,0,20,New Cabell Hall 111, 5:00pm - 5:50pm,Mo,Colleen Winkelman
105,ANTH,3559,19155,001,Lecture,3,20,Brooks Hall 103, 2:00pm - 4:30pm,Tu,Lise Dobrin
106,ANTH,3589,19167,100,Lecture,3,35,Clinical Department Wing 2677, 9:30am - 10:45am,TuTh,Julia Haines
107,ANTH,3590,13541,001,Lecture,3,30,New Cabell Hall 332, 3:30pm - 6:00pm,We,Aidan Seale-Feldman
108,ANTH,3590,13544,002,Lecture,3,8,Fayerweather Hall 208, 1:00pm - 3:30pm,Tu,Adriana Greci Green
109,ANTH,3590,19377,004,Lecture,3,35,New Cabell Hall 032, 3:30pm - 4:45pm,TuTh,Mingyun Zhang
110,ANTH,3885,19169,100,Lecture,3,45,Clinical Department Wing 2677, 12:30pm - 1:45pm,TuTh,Adria LaViolette
111,ANTH,4591,11651,001,SEM,3,15,New Cabell Hall 042, 2:00pm - 3:15pm,TuTh,Bremen Donovan
112,ANTH,4591,12300,002,SEM,3,18,The Rotunda Room 150, 2:00pm - 3:15pm,MoWe,Alison Broach
113,ANTH,4993,11437,011,IND,1 - 6,5,TBA,TBA,,Frederick Damon
114,ANTH,4993,13683,030,IND,1 - 6,30,TBA,TBA,,Adria LaViolette
115,ANTH,4993,20805,031,IND,1 - 6,5,TBA,TBA,,Mark Sicoli
116,ANTH,4999,13920,001,IND,3,30,TBA,TBA,,Ira Bashkow
117,ANTH,4999,11972,025,IND,3,30,TBA,TBA,,China Scherz
118,ANTH,5360,11401,001,Lecture,3,20,Clark Hall 102, 6:30pm - 9:00pm,We,Richard Merkel
119,ANTH,5401,11652,001,Lecture,3,16,Brooks Hall 103, 5:00pm - 7:30pm,Mo,Armik Mirzayan
120,ANTH,5410,19671,001,Lecture,3,20,New Cabell Hall 303, 3:30pm - 4:45pm,TuTh,Armik Mirzayan
121,ANTH,5425,19182,001,Lecture,3,20,Brooks Hall B004, 2:00pm - 4:30pm,We,Mark Sicoli
122,ANTH,5465,19181,001,SEM,3,18,Fayerweather Hall 215, 5:00pm - 7:30pm,Th,Lise Dobrin
123,ANTH,5589,19183,001,Lecture,3,15,New Cabell Hall 056, 5:00pm - 7:30pm,Tu,Adria LaViolette
124,ANTH,5590,19690,001,SEM,3,18,New Cabell Hall 594, 5:00pm - 7:30pm,We,Gertrude Fraser
125,ANTH,7020,10010,001,SEM,3,15,Ruffner Hall 123, 2:00pm - 4:30pm,Mo,China Scherz
126,ANTH,7040,19648,001,SEM,3,20,New Cabell Hall 338, 2:00pm - 3:15pm,TuTh,Ira Bashkow
127,ANTH,7470,19184,100,Lecture,3,65,Claude Moore Nursing Educ G120, 11:00am - 11:50am,MoWe,Daniel Lefkowitz
128,ANTH,7470,19747,101,Discussion,0,5,Monroe Hall 113, 11:00am - 11:50am,Fr,Daniel Lefkowitz
129,ANTH,7590,19692,001,SEM,3,9,Brooks Hall 311, 12:30pm - 1:45pm,MoWe,Peter Metcalf
130,ANTH,8998,10011,001,IND,1 - 12,50,TBA,TBA,,Ira Bashkow+1
131,ANTH,8998,20782,002,IND,1 - 12,30,TBA,TBA,,Mark Sicoli
132,ANTH,8998,11261,004,IND,1 - 12,30,TBA,TBA,,Frederick Damon
133,ANTH,8998,11262,005,IND,1 - 12,30,TBA,TBA,,Eve Danziger
134,ANTH,8998,11263,006,IND,1 - 12,30,TBA,TBA,,Lise Dobrin
135,ANTH,8998,11265,008,IND,1 - 12,30,TBA,TBA,,Gertrude Fraser
136,ANTH,8998,11266,009,IND,1 - 12,30,TBA,TBA,,Richard Handler
137,ANTH,8998,11269,012,IND,1 - 12,30,TBA,TBA,,Adria LaViolette
138,ANTH,8998,11270,013,IND,1 - 12,30,TBA,TBA,,Daniel Lefkowitz
139,ANTH,8998,11271,016,IND,1 - 12,30,TBA,TBA,,George Mentore
140,ANTH,8998,11272,017,IND,1 - 12,30,TBA,TBA,,Rachel Most
141,ANTH,8998,11275,023,IND,1 - 12,30,TBA,TBA,,Patricia Wattenmaker
142,ANTH,8998,11276,024,IND,1 - 12,30,TBA,TBA,,Kath Weston
143,ANTH,8998,11957,026,IND,1 - 12,30,TBA,TBA,,Jim Igoe
144,ANTH,8998,11958,027,IND,1 - 12,30,TBA,TBA,,Fraser Neiman
145,ANTH,8998,11959,028,IND,1 - 12,30,TBA,TBA,,China Scherz
146,ANTH,8998,11960,029,IND,1 - 12,30,TBA,TBA,,Margo Smith
147,ANTH,8999,11244,004,IND,1 - 12,30,TBA,TBA,,Frederick Damon
148,ANTH,8999,11245,005,IND,1 - 12,30,TBA,TBA,,Eve Danziger
149,ANTH,8999,11246,006,IND,1 - 12,30,TBA,TBA,,Lise Dobrin
150,ANTH,8999,11248,008,IND,1 - 12,30,TBA,TBA,,Gertrude Fraser
151,ANTH,8999,11249,009,IND,1 - 12,30,TBA,TBA,,Richard Handler
152,ANTH,8999,11252,012,IND,1 - 12,30,TBA,TBA,,Adria LaViolette
153,ANTH,8999,11253,013,IND,1 - 12,30,TBA,TBA,,Daniel Lefkowitz
154,ANTH,8999,11254,016,IND,1 - 12,30,TBA,TBA,,George Mentore
155,ANTH,8999,11255,017,IND,1 - 12,30,TBA,TBA,,Rachel Most
156,ANTH,8999,11257,020,IND,1 - 12,30,TBA,TBA,,John Shepherd
157,ANTH,8999,11258,023,IND,1 - 12,30,TBA,TBA,,Patricia Wattenmaker
158,ANTH,8999,11259,024,IND,1 - 12,30,TBA,TBA,,Kath Weston
159,ANTH,8999,11961,025,IND,1 - 12,30,TBA,TBA,,Jim Igoe
160,ANTH,8999,11962,026,IND,1 - 12,30,TBA,TBA,,Fraser Neiman
161,ANTH,8999,11963,027,IND,1 - 12,30,TBA,TBA,,China Scherz
162,ANTH,8999,11964,028,IND,1 - 12,30,TBA,TBA,,Margo Smith
163,ANTH,9010,19991,002,IND,1 - 12,20,TBA,TBA,,Ira Bashkow
164,ANTH,9010,20593,003,IND,1 - 12,20,TBA,TBA,,China Scherz
165,ANTH,9010,11277,012,IND,1 - 12,20,TBA,TBA,,Adria LaViolette
166,ANTH,9010,11278,013,IND,1 - 12,20,TBA,TBA,,Daniel Lefkowitz
167,ANTH,9010,13773,032,IND,1 - 12,20,TBA,TBA,,Kath Weston
168,ANTH,9020,20594,001,IND,1 - 12,20,TBA,TBA,,China Scherz
