,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Lecture_Num
75,ARTH,2752,"America! Art, Identity, Politics",18799,103,Discussion,0,20,Fayerweather Hall 206,Meaghan Walsh,1700,1750,4,290
76,ARTH,2752,"America! Art, Identity, Politics",20443,104,Discussion,0,15,Fayerweather Hall 208,Abigail Bradford,1000,1050,1,290
77,ARTH,2752,"America! Art, Identity, Politics",20444,105,Discussion,0,15,Fayerweather Hall 208,Abigail Bradford,1100,1150,1,290
78,ARTH,2752,"America! Art, Identity, Politics",20445,106,Discussion,0,15,Fayerweather Hall 208,Abigail Bradford,1600,1650,4,290
79,ARTH,4051,Art History: Theory and Practice,11529,101,Discussion,0,12,New Cabell Hall 042,Lucie Stylianopoulos,1600,1700,2,302
80,ASTR,1230,Introduction to Astronomical Observation,18842,101,Laboratory,0,35,Astronomy Bldg G25,Borja Anguiano,2100,2300,1,357
81,ASTR,1230,Introduction to Astronomical Observation,18843,102,Laboratory,0,35,Astronomy Bldg G25,Borja Anguiano,2000,2300,2,357
82,ASTR,1230,Introduction to Astronomical Observation,18844,103,Laboratory,0,35,Astronomy Bldg G25,Borja Anguiano,2000,2300,3,357
83,ASTR,1230,Introduction to Astronomical Observation,18845,104,Laboratory,0,35,Astronomy Bldg G25,Borja Anguiano,2000,2300,4,357
84,ASTR,2120,Introduction to Astrophysics II,10048,101,Discussion,0,25,Astronomy Bldg 265,Mark Siebert,1500,1550,5,363
85,ASTR,3130,Observational Astronomy,11654,101,Laboratory,0,20,Astronomy Bldg 265,Michael Skrutskie,2100,2300,2,364
86,ASTR,3130,Observational Astronomy,11656,102,Laboratory,0,20,Astronomy Bldg 265,Michael Skrutskie,2100,2300,3,364
87,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12055,102,Laboratory,0,24,Chemistry Bldg Room 324,Jessamyn Manson+1,1400,1630,1,436
88,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12056,103,Laboratory,0,24,Chemistry Bldg Room 326,Jessamyn Manson+1,1400,1630,1,436
89,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12057,104,Laboratory,0,24,Chemistry Bldg Room 328,Benedict Lenhart+1,1400,1630,1,436
90,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12058,105,Laboratory,0,24,Chemistry Bldg Room 324,Ezra Bass+1,1730,2000,1,436
91,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12059,106,Laboratory,0,24,Chemistry Bldg Room 326,Jessamyn Manson+1,1730,2000,1,436
92,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12103,107,Laboratory,0,24,Chemistry Bldg Room 328,Benedict Lenhart+1,1730,2000,1,436
93,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12060,108,Laboratory,0,24,Chemistry Bldg Room 324,Hanna Makowski+1,1000,1230,2,436
94,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12061,109,Laboratory,0,24,Chemistry Bldg Room 326,Everett Altherr+1,1000,1230,2,436
95,BIOL,2200,Introduction to Biology w/Laboratory: Organismal & Evolutionary Biology,12062,110,Laboratory,0,24,Chemistry Bldg Room 328,Jessamyn Manson+1,1000,1230,2,436
