,Department,Course_Num,Course_Name,Class_Num,Section_Num,Class_Type,Credits,Seat_Count,Meeting_Place,Professor,Start_Time,End_Time,Date_Nums,Discussion_Lab_Nums
1152,ENWR,1510,Writing and Critical Inquiry,11602,51,SEM,3,18,Shannon House 111,Lindgren Johnson,1100,1215,"2, 4",None
1153,ENWR,1510,Writing and Critical Inquiry,11740,53,SEM,3,18,New Cabell Hall 383,Indu Ohri,1100,1150,"1, 3, 5",None
1154,ENWR,1510,Writing and Critical Inquiry,11953,56,SEM,3,18,Shannon House 111,Nathan Frank,1530,1645,"2, 4",None
1155,ENWR,1510,Writing and Critical Inquiry,12206,57,SEM,3,18,Nau Hall 141,Cory Shaman,1400,1515,"2, 4",None
1156,ENWR,1510,Writing and Critical Inquiry,12270,61,SEM,3,18,Bryan Hall 330,Indu Ohri,900,950,"1, 3, 5",None
1157,ENWR,1510,Writing and Critical Inquiry,12271,64,SEM,3,18,Bryan Hall 334,Sophie Abramowitz,1700,1815,"2, 4",None
1158,ENWR,1510,Writing and Critical Inquiry,12272,65,SEM,3,18,Bryan Hall 332,Thomas Berenato,1700,1815,"2, 4",None
1159,ENWR,1510,Writing and Critical Inquiry,12588,66,SEM,3,18,Bryan Hall 310,James Ascher,800,915,"2, 4",None
1160,ENWR,1510,Writing and Critical Inquiry,12590,68,SEM,3,18,Bryan Hall 312,Derek Cavens,1530,1645,"2, 4",None
1161,ENWR,1510,Writing and Critical Inquiry,12591,69,SEM,3,18,Bryan Hall 330,DeVan Ard,800,915,"2, 4",None
1162,ENWR,1510,Writing and Critical Inquiry,12592,70,SEM,3,18,Mechanical Engineering 305,Stephen Riopelle,1100,1150,"1, 3, 5",None
1163,ENWR,1510,Writing and Critical Inquiry,12593,71,SEM,3,18,Bryan Hall 332,Katherine Rice,1830,1945,"1, 3",None
1164,ENWR,1510,Writing and Critical Inquiry,12594,72,SEM,3,18,New Cabell Hall 411,Lucas Morel,1530,1645,"2, 4",None
1165,ENWR,1510,Writing and Critical Inquiry,12595,74,SEM,3,18,Bryan Hall 310,Heidi Nobles,1100,1150,"1, 3, 5",None
1166,ENWR,1510,Writing and Critical Inquiry,12597,76,SEM,3,18,New Cabell Hall 407,Aimee Seu,1700,1815,"1, 3",None
1167,ENWR,1510,Writing and Critical Inquiry,12599,79,SEM,3,18,Bryan Hall 332,Emelye Keyser,1700,1815,"1, 3",None
1168,ENWR,1510,Writing and Critical Inquiry,12602,82,SEM,3,18,Bryan Hall 332,Leah Putnam,800,915,"2, 4",None
1169,ENWR,1510,Writing and Critical Inquiry,12603,84,SEM,3,18,New Cabell Hall 191,Shalmi Barman,1700,1815,"1, 3",None
